Aalto University																									
Internal Combustion Engine Laboratory																									
Engine: 44AWI																									
Project: Hercules																									
Reference: RCP Test Run																									
Operator: Jari																									
2017.05.18																									
Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)
59:48.9	1300	1298.869873	100	100.0132	0.068631	0.065179	15.969948	0.129734	226.969632	1050	4.129513	1082.996394	2.968579	18.101285	2.884639	2.843013	2907.77509	-11.866825	0	212.357841	1.019565	31.043478	29.747219	0.016514	43.404631
59:49.0	1300	1272.871948	100	100.0132	0.074074	0.08584	15.912409	0.076652	227.127137	1050	4.122992	1002.64733	2.939433	18.260656	2.868948	2.858469	2925.945383	-11.874945	0	212.177282	1.019297	30.023085	28.714378	0.016514	43.360501
59:49.1	1300	1304.376099	100	100.0132	0.070231	0.056652	15.960733	0.219503	227.198768	1050	4.104023	942.90059	2.946075	18.196563	2.871002	2.837861	2790.218279	-11.860735	0	212.295924	1.019565	28.998595	30.398482	0.016514	43.485453
59:49.2	1300	1277.628662	100	98.627842	0.071177	0.065671	15.889779	-0.035867	227.048928	1050	4.063251	932.599428	2.890503	18.587879	2.866531	2.837861	2918.914167	-11.860735	0	212.284711	1.019833	30.318139	29.873455	0.016469	43.408956
59:49.3	1300	1277.669434	100	98.627842	0.067505	0.095186	16.028906	0.091613	227.057623	1050	4.026942	963.502914	2.905519	18.464499	2.872017	2.868774	2819.985766	-11.888139	0	212.240502	1.019565	28.72608	28.040162	0.01656	43.489837
59:49.4	1300	1306.378418	100	98.627842	0.064913	0.039681	16.044621	0.155968	227.023557	1050	4.012437	1035.611048	2.781851	19.314881	2.873418	2.853317	3057.651425	-11.870885	0	212.081345	1.020369	30.148073	26.43639	0.016605	43.409689
59:49.5	1300	1281.065796	100	100.0132	0.069561	0.06026	16.002445	0.144696	226.923593	1050	4.019393	1076.815696	2.86477	18.75382	2.886951	2.858469	2944.646734	-11.888139	0	212.282798	1.020101	28.88795	28.195088	0.016514	43.35129
59:49.6	1300	1288.203247	100	98.627842	0.066094	0.076903	15.875865	0.183022	226.950956	1050	4.051243	1126.261274	2.878507	18.666846	2.860899	2.848165	2852.736835	-11.879004	0	212.003992	1.020101	30.531233	29.305392	0.01656	43.549147
59:49.7	1300	1309.543213	100	100.0132	0.072015	0.057226	16.011786	0.080341	227.103927	1050	4.072363	1161.285225	2.738915	19.614117	2.866638	2.853317	2812.708824	-11.856676	0	212.18299	1.020101	29.910391	29.279571	0.016514	43.402593
59:49.8	1300	1300.643677	100	101.398558	0.073778	0.0578	15.949372	0.273201	227.138702	1050	4.101381	1175.706852	2.898858	18.531156	2.873718	2.863622	2788.724676	-11.880019	0	212.241614	1.020101	29.025231	30.625134	0.016514	43.481851
59:49.9	1300	1286.877075	100	100.0132	0.063921	0.104287	15.929637	0.067019	227.206904	1050	4.126708	1161.285225	2.78025	19.35646	2.86866	2.832709	2869.893842	-11.910468	0	212.184509	1.020101	29.195297	30.341102	0.016605	43.565782
59:50.0	1300	1306.250366	100	98.627842	0.069423	0.069196	15.878553	0.076037	227.026671	1050	4.143793	1109.779415	3.006168	17.819655	2.865432	2.858469	2888.695858	-11.8719	0	212.230538	1.019833	30.109143	26.697469	0.016605	43.437693
59:50.1	1300	1307.958984	100	102.783916	0.066455	0.059276	15.910459	0.199008	227.237756	1050	4.146457	1008.828027	2.913417	18.475532	2.891252	2.832709	2844.74429	-11.86784	0	212.195072	1.019833	29.324383	27.07044	0.016514	43.368351
59:50.2	1300	1315.962646	100	98.627842	0.071005	0.0578	15.927587	-0.100427	227.258256	1050	4.127832	986.165471	2.85081	18.895535	2.872932	2.863622	3114.255702	-11.887124	0	212.176192	1.019297	29.383803	30.880475	0.01665	43.383478
