Aalto University
Internal Combustion Engine Laboratory
Engine: 44AWI
Project: Hercules
Reference: RCP Test Run
Operator: Jari
2017.05.23

Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)	
15:19:11.964	1600.000000	1612.187988	200.000000	196.988246	0.276169	0.106501	26.935310	0.434704	385.657374	1100.000000	3.564382	1097.418020	-4.000000	36.285910	3.927018	3.961019	6323.269298	-11.871900	0.000000	310.981866	1.009120	16.940340	35.577032	0.016514	81.468092
15:19:12.035	1600.000000	1598.401611	200.000000	199.758962	0.275136	0.052389	26.962928	-0.121537	386.801965	1100.000000	3.569660	1070.634999	-4.000000	36.817121	3.925527	3.971324	6167.546427	-11.859720	0.000000	312.151974	1.009923	17.718953	36.300021	0.016696	81.241770
15:19:12.135	1600.000000	1611.603516	200.000000	201.144320	0.275166	0.071984	26.793086	0.102476	388.006769	1100.000000	3.570390	1093.297556	-4.000000	36.111278	3.943242	3.971324	6147.764818	-11.865810	0.000000	313.237244	1.009388	19.782277	35.840980	0.016560	80.911015
15:19:12.235	1600.000000	1614.139771	200.000000	202.529677	0.275592	0.107074	26.756906	0.503773	389.406547	1100.000000	3.555667	1087.116858	-4.000000	36.267850	3.914473	3.961019	6216.936571	-11.873930	0.000000	314.460140	1.010191	18.600015	33.238795	0.016605	80.602549
15:19:12.335	1600.000000	1627.935425	200.000000	201.144320	0.274834	0.045912	26.779746	-0.139368	390.824851	1100.000000	3.565495	1064.454302	-4.000000	36.125910	3.921119	3.971324	6136.631500	-11.881034	0.000000	315.581880	1.009120	18.792619	33.967522	0.016560	80.304907
15:19:12.435	1600.000000	1607.458618	200.000000	199.758962	0.269090	0.061489	26.746820	0.113338	392.376176	1100.000000	3.561589	1101.538485	-4.000000	35.757458	3.937792	2.626625	6278.496890	-11.890169	0.000000	316.794951	1.009923	18.983174	33.832678	0.016696	80.041033
15:19:12.535	1600.000000	1609.593262	200.000000	199.758962	0.276275	0.107812	26.589330	0.096737	393.818512	1100.000000	3.548240	1115.960112	-4.000000	36.270110	3.905252	3.950715	6462.830768	-11.880019	0.000000	317.848785	1.009120	18.237345	35.556949	0.016560	79.612029
15:19:12.635	1600.000000	1613.293579	200.000000	196.988246	0.269574	0.070180	26.732457	0.035251	395.740643	1100.000000	3.565365	1101.538485	-4.000000	36.691336	3.909182	3.981628	6568.168882	-11.868855	0.000000	319.310920	1.008852	18.845893	33.287568	0.016650	79.433323
15:19:12.735	1600.000000	1599.936035	200.000000	201.144320	0.274187	0.074935	26.601031	0.567308	397.222154	1100.000000	3.573305	1099.478253	-4.000000	36.262314	3.931065	3.971324	6530.973970	-11.879004	0.000000	320.281984	1.009120	18.761884	35.344643	0.016560	79.229966
15:19:12.676	1600.000000	1591.469727	200.000000	199.758962	0.277423	-0.041979	26.507345	-0.071734	398.927186	1100.000000	3.566823	1124.201042	-4.000000	36.659045	3.911332	3.986780	6559.749898	-11.870885	0.000000	321.555677	1.009656	18.417656	35.780731	0.016514	78.978480
15:19:12.776	1600.000000	1601.986328	200.000000	201.144320	0.269169	0.100269	26.526718	0.074602	400.595314	1100.000000	3.565835	1105.658950	-4.000000	36.241651	3.911422	3.955867	6803.621922	-11.873930	0.000000	322.948220	1.008852	18.985223	33.930224	0.016514	78.656929
15:19:12.876	1600.000000	1594.006714	200.000000	201.144320	0.260095	0.060997	26.454271	0.576531	402.126582	1100.000000	3.579183	1130.381739	-4.000000	36.332176	3.846005	3.981628	6914.238575	-11.671955	0.000000	324.002936	1.008852	17.298912	33.703573	0.016696	78.524556
15:19:12.976	1600.000000	1599.871948	200.000000	194.217531	0.264495	0.089447	26.460277	-0.038942	403.796227	1100.000000	3.571157	1093.297556	-4.000000	35.647967	3.911225	3.961019	6880.845073	-11.884079	0.000000	325.382040	1.009388	18.444292	34.549929	0.016514	78.263427
15:19:13.076	1600.000000	1584.848755	200.000000	203.915035	0.271983	0.101335	26.145752	0.159862	405.583650	1100.000000	3.585020	1113.899880	-4.000000	35.642791	3.889975	3.971324	6733.892880	-11.867840	0.000000	326.718518	1.009388	19.302815	35.169634	0.016605	77.812245
15:19:13.176	1600.000000	1593.688843	200.000000	202.529677	0.257564	0.087479	26.230303	-0.034228	406.982667	1100.000000	3.567464	1120.080577	-4.000000	34.733454	3.902135	3.971324	6782.077515	-11.879004	0.000000	327.969942	1.009120	18.028349	33.657669	0.016514	77.579301
15:19:13.276	1600.000000	1600.896606	200.000000	199.758962	0.273122	0.062719	26.361093	0.636377	408.678174	1100.000000	3.578065	1076.815696	-4.000000	35.417084	3.907695	3.976476	6859.664718	-11.884079	0.000000	329.367509	1.008584	17.981223	36.165177	0.016469	77.280517
15:19:13.376	1600.000000	1582.779419	200.000000	202.529677	0.271209	0.077887	26.105713	-0.008609	410.225642	1100.000000	3.582571	1115.960112	-4.000000	35.591154	3.900301	3.986780	6778.339800	-11.865810	0.000000	330.458579	1.009120	17.516104	36.807834	0.016605	77.004742
